RowNames	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
k__Bacteria|p__Bacteroidetes|c__CFGB7503	0.70453	0	4.10479	1.03552	3.03277	0.32631	0.04965	0.02313	0	1.59516	0	0	0	0.07193	5.01453	0	0	0	0	0	0	0	0	4.87773	0	0	1.47116	0	0	0	0.08351	0	0	24.00761	0	0	0	5.6129	0	0	0.05555	0	0	2.11241	10.72247	0	0	0	0	3.44319	0	0	5.00312	0	1.64517	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.06549	1.09648	0.83843	0.63235	0.30185	0.15217	6.24523	0.73212	5.34198	1.52477	10.39128	2.7527	4.18472	2.16612	10.49373	10.60003	21.17131	10.46879	23.99155	24.41273	6.75453	9.531	21.54566	2.71616	3.74181	14.28886	7.45213	20.25543	8.95904	21.00303	1.45593	0.48924	0.22668	4.11503	8.86837	0.10448	0.59774	1.63117	0.36494	0.66321	0.306	1.52648	19.02134	33.27286	19.19989	18.9901	4.20472	27.01678	2.79499	1.47715	3.63295	15.42386	6.25966	10.1352	2.42384	27.70472	10.14945	2.30094	9.98578	12.47936
k__Bacteria|p__Firmicutes|c__CFGB9158	2.35843	0	3.25937	6.20366	0.04475	2.02184	22.08868	6.12377	8.08291	0.56371	22.30656	0	4.68551	5.18336	0	0.16236	0.30875	0.00449	0	0	0	0.14976	0.07293	0	0	0.97904	0.0553	0	0	0	3.30102	3.82547	4.9624	0	0	1.739	0.50539	0.93151	0.00354	4.46827	0.85736	3.81503	0	0	0	0	0	0	0.58359	0	0	0	0.0577	0	0.48796	0	0.23741	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1.65439	61.11136	1.67887	0.10509	1.60468	1.07453	10.32254	0.03355	0.12678	0.54891	18.35528	0	1.11534	0.14683	1.60572	3.33126	1.17587	0.15476	1.00366	6.02246	3.46448	1.06247	14.67447	11.5517	0.83649	3.3307	26.58323	11.04117	4.40067	6.90143	0.02191	3.76709	2.44973	5.3589	2.9107	0.00363	0	26.69327	31.54983	0.04149	0.53421	2.96404	18.64919	3.85184	11.0399	1.87052	0.79702	0.75925	2.39432	19.5889	19.48724	0.18306	1.37422	8.99609	30.84717	7.25418	14.07282	1.62546	1.13821	5.09429
k__Bacteria|p__Bacteroidetes|c__CFGB38298	0.91057	0	0.24733	0	0	0.39371	0.00948	0.00887	0.00698	0.35275	0	0	0.00461	0	0	2.38971	0	0	1.14628	0	0	2.27445	2.36549	1.79229	0	0	0.47721	0	0.14034	3.23732	0.00304	0	0.40941	1.61663	0.84771	0	0.00704	5.03046	0.2432	0	0.02845	0	1.8368	0.23197	2.80737	0	9.18933	3.9898	0.02261	1.45286	10.37451	2.28147	0.26221	0	5.28056	0	1.08433	0	1.09617	1.00537
k__Bacteria|p__Bacteroidetes|c__CFGB7946	0	2.37094	0.43476	0	0	0	0	0	0	0.31517	0	0	0	0.00966	0.3311	0.59473	0	0.1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28006	0	0	0	0	0	0	0	0	0.22409	0.01498	0	0	0	0.34469	0.27077	0
k__Bacteria|p__Bacteroidetes|c__CFGB37281	0.2846	3.26973	0.20674	0	0.01781	0	0	0	0	0.30643	0.40137	0.36432	0.84503	0.00192	0.29452	0	0	0.67767	0	0	0	0	0	0	0	0	0	0.13865	0	2.31151	0	0	0	1.49021	0.2209	0	0.00937	0.08944	0	0	0	0	0	0	0.34207	0	0	0.081	0	0	0.12375	0	0	0	0.00844	0	0.11822	0.0171	0	0.24511
k__Bacteria|p__Firmicutes|c__CFGB9119	0	0	0	0	0	0	0	0	1.99695	0.29727	0.1215	0.23305	0.21032	0.00601	0	0	0	0	0	0	0.23853	0	0	0	0	0	0	0.12993	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27214	0.03443	0	0	0	0	0	0	0	0	0	0.00511	0.02915	0	0.04695	0.00118	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8214	0.02898	0	0	0.09329	0	0.00857	0.32463	0.22732	9.0861	0.29416	5.52622	0.52312	0.10424	1.47257	0.02469	0.92838	0.63547	0	1.33678	1.56617	1.18945	0	1.07493	0.01456	4.58492	0.6869	1.55197	0.78944	0.93506	0.42907	0.76392	1.43312	0.1198	0	0.18696	0.07235	0.0242	0	0.02555	0.17304	0.16595	1.21253	0.09474	0.0593	0.04668	0.04722	0	0.23655	0.24681	0.15943	0.44578	0.15912	0.04044	0	0	0.51611	0.47301	0.01766	0.81106	0
k__Bacteria|p__Firmicutes|c__CFGB9714	0.16688	7.50713	0.01934	0	0.02694	0	0	0.01559	0	0.16165	0	0.11775	0	0	0.00359	0	0.81069	0	0	0	0	0	0	0.16092	0	0	0	0	0	0	0.01122	0	0	4.82947	0.63642	0	0	0.1562	0	0	0.04678	0	0	0.19583	0	0.16303	0	0	0	0.12179	0	0	0.18336	0	0.02501	0	0.01502	0	0.85172	0
